EXPERIMENT,gf,mf,σ,T,foram,SYSTEM,%foram,,,,min %,max %,"Here you can find the model output for the carnivorous non-spinose with σ= 0.5, 0.6, 0.8 and 1 with optimum predator -prey length ratio 10:1"
plausible,20,30,0.5,30,3.19E-05,OLIGO,1.26E-02,,,,0.001,0.02,
plausible,20,14,0.5,30,6.14E-05,meso,1.66E-02,,,,,,
plausible,40,37,0.5,30,5.90E-05,EUTRO,1.25E-02,,,,,,
plausible,50,55,0.5,30,1.37E-05,EUTRO,2.88E-03,,,,,,
,,,,,,,,,,,,,
low,10,70,0.5,20,1.74E-05,MESO,8.83E-03,,,,,,
low,10,70,0.5,20,2.36E-05,EUTRO,1.02E-02,,,,,,
low,40,57,0.5,30,1.26E-05,OLIGO,7.00E-03,,,,,,
low,50,58,0.5,30,8.92E-05,EUTRO,1.88E-02,,,,,,
,,,,,,,,,,,,,
other,30,40,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,30,80,0.5,20,5.29E-05,OLIGO,3.49E-02,,,,,,
other,20,70,0.5,20,4.79E-05,OLIGO,3.16E-02,,,,,,
other,30,60,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,30,10,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,40,10,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,50,10,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,30,90,0.5,20,0.027169341,OLIGO,1.70E+01,,,,,,
other,40,70,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,40,80,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,50,80,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,60,80,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,80,80,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,20,80,0.5,20,0.020830739,OLIGO,1.25E+01,,,,,,
other,10,70,0.5,20,0.016810445,OLIGO,1.03E+01,,,,,,
other,10,50,0.5,20,DEAD,OLIGO,DEAD,,,,,,
other,20,50,0.5,20,DEAD,OLIGO,DEAD,,,,,,
,,,,,,,,,,,,,
other,30,40,0.5,20,DEAD,MESO,DEAD,,,,,,
other,20,80,0.5,20,0.000164152,MESO,8.32E-02,,,,,,
other,30,60,0.5,20,DEAD,MESO,DEAD,,,,,,
other,30,10,0.5,20,DEAD,MESO,DEAD,,,,,,
other,40,10,0.5,20,DEAD,MESO,DEAD,,,,,,
other,50,10,0.5,20,DEAD,MESO,DEAD,,,,,,
other,30,90,0.5,20,0.001414343,MESO,7.00E-01,,,,,,
other,30,80,0.5,20,DEAD,MESO,DEAD,,,,,,
other,40,70,0.5,20,DEAD,MESO,DEAD,,,,,,
other,40,80,0.5,20,DEAD,MESO,DEAD,,,,,,
other,50,80,0.5,20,DEAD,MESO,DEAD,,,,,,
other,60,80,0.5,20,DEAD,MESO,DEAD,,,,,,
other,80,80,0.5,20,DEAD,MESO,DEAD,,,,,,
other,80,80,0.5,20,DEAD,MESO,DEAD,,,,,,
other,20,70,0.5,20,DEAD,MESO,DEAD,,,,,,
other,20,50,0.5,20,DEAD,MESO,DEAD,,,,,,
,,,,,,,,,,,,,
other,30,40,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,30,60,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,30,10,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,40,10,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,50,10,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,30,90,0.5,20,0.001815121,EUTRO,8.00E-01,,,,,,
other,30,80,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,40,70,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,40,80,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,50,80,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,60,80,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,80,80,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,80,80,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,20,80,0.5,20,0.000219249,EUTRO,9.41E-02,,,,,,
other,20,70,0.5,20,DEAD,EUTRO,DEAD,,,,,,
other,20,50,0.5,20,DEAD,EUTRO,DEAD,,,,,,
,,,,,,,,,,,,,
other,20,50,0.5,30,0.019564108,OLIGO,7.00E+00,,,,,,
