Scenario,gf,mf,σ,PF biomass (mmolN m-3),Enviroment,Temperature (oC),Predation decrease (%),%foram,,min,max,,"Here we present the model output for the herbivorous non-spinose with σ = 0.5, 0.6, 0.8, 1.0"
Plausible,30,40,0.6,7.72E-06,M,10,0,7.56E-03,,0.001,0.02,,
Plausible,20,20,0.6,3.00E-06,E,10,0,2.71E-03,,,,,
Plausible,20,21,0.6,1.88E-05,E,10,0,1.70E-02,,,,,
Plausible,45,45,0.6,1.83E-05,E,10,0,1.65E-02,,,,,
Plausible,40,35,1,2.44E-06,O,20,0,1.61E-03,,,,,
Plausible,20,30,0.6,3.13E-06,M,20,0,1.60E-03,,,,,
Plausible,20,32,0.6,3.66E-05,M,20,0,1.82E-02,,,,,
Plausible,30,45,0.6,4.75E-06,M,20,0,2.36E-03,,,,,
Plausible,30,40,0.6,4.06E-05,E,20,0,1.75E-02,,,,,
Plausible,30,45,1,2.34E-05,O,30,0,9.26E-03,,,,,
Plausible,30,10,0.6,1.43E-05,M,30,0,3.80E-03,,,,,
Plausible_14,25,50,0.5,2.92E-05,M ,30,0,7.78E-03,,,,,
,,,,,,,,,,,,,
low_biomass,40,70,0.5,4.40E-05,OLIGO,30,,1.17E-02,,,,,
low_biomass,40,70,0.5,4.40E-05,MESO,30,,1.17E-02,,,,,
low_biomass,10,5,0.6,1.87E-05,E,10,0,1.69E-02,,,,,
low_biomass,50,55,1,2.18E-05,O,20,0,1.44E-02,,,,,
low_biomass,50,90,0.6,5.33E-06,O,20,0,3.52E-03,,,,,
low_biomass,50,90,0.7,2.23E-06,O,20,0,1.47E-03,,,,,
low_biomass,40,60,0.8,4.83E-03,O,20,0,5.36E-03,,,,,
low_biomass,40,60,0.6,7.21E-06,M,20,0,3.59E-03,,,,,
low_biomass,50,75,1,3.49E-05,O,30,0,1.38E-02,,,,,
low_biomass,40,60,1,2.86E-05,O,30,0,1.13E-02,,,,,
low_biomass,40,55,0.6,1.25E-05,E,20,0,5.38E-03,,,,,
low_biomass,50,70,0.6,3.70E-06,E,20,0,1.59E-03,,,,,
low_biomass,40,30,0.6,1.93E-05,M,30,0,5.14E-03,,,,,
low_biomass,50,50,0.6,2.59E-05,M,30,0,6.90E-03,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,DEAD,M,10,0,DEAD,,,,,
other,10,10,0.6,6.02E-05,M,10,0,6.00E-02,,,,,
other,10,20,0.6,8.32E-03,M,10,0,8.16E+00,,,,,
other,10,5,0.6,3.90E-09,M,10,0,3.82E-06,,,,,
other,10,15,0.6,8.94E-03,M,10,0,8.70E+00,,,,,
other,20,0,0.6,DEAD,M,10,0,DEAD,,,,,
other,20,15,0.6,DEAD,M,10,0,DEAD,,,,,
other,20,25,0.6,2.16E-05,M,10,0,2.12E-02,,,,,
other,20,20,0.6,DEAD,M,10,0,DEAD,,,,,
other,20,30,0.6,DEAD,M,10,0,DEAD,,,,,
other,25,0,0.6,DEAD,M,10,0,DEAD,,,,,
other,25,20,0.6,DEAD,M,10,0,DEAD,,,,,
other,25,25,0.6,DEAD,M,10,0,DEAD,,,,,
other,25,35,0.6,1.35E-03,M,10,0,1.32E+00,,,,,
other,25,40,0.6,1.12E-02,M,10,0,1.07E+01,,,,,
other,25,30,0.6,1.06E-07,M,10,0,1.04E-04,,,,,
other,30,0,0.6,DEAD,M,10,0,DEAD,,,,,
other,30,30,0.6,DEAD,M,10,0,DEAD,,,,,
other,30,35,0.6,DEAD,M,10,0,DEAD,,,,,
other,30,45,0.6,9.71E-03,M,10,0,9.30E+00,,,,,
other,35,0,0.6,DEAD,M,10,0,DEAD,,,,,
other,35,40,0.6,DEAD,M,10,0,DEAD,,,,,
other,35,50,0.6,5.41E-04,M,10,0,5.30E-01,,,,,
other,35,45,0.6,DEAD,M,10,0,DEAD,,,,,
other,50,0,0.6,DEAD,M,10,0,DEAD,,,,,
other,50,50,0.6,DEAD,M,10,0,DEAD,,,,,
other,50,60,0.6,DEAD,M,10,0,DEAD,,,,,
other,50,65,0.6,DEAD,M,10,0,DEAD,,,,,
other,50,70,0.6,1.01E-06,M,10,0,9.87E-04,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,1.83E-09,E,10,0,1.65E-06,,,,,
other,10,10,0.6,1.29E-02,E,10,0,1.16E+01,,,,,
other,20,0,0.6,DEAD,E,10,0,DEAD,,,,,
other,20,10,0.6,DEAD,E,10,0,DEAD,,,,,
other,20,25,0.6,8.54E-03,E,10,0,7.61E+00,,,,,
other,25,25,0.6,1.09E-08,E,10,0,9.83E-06,,,,,
other,25,30,0.6,1.13E-04,E,10,0,1.02E-01,,,,,
other,25,35,0.6,1.89E-02,E,10,0,1.65E+01,,,,,
other,25,45,0.6,2.00E-02,E,10,0,1.73E+01,,,,,
other,30,35,0.6,4.47E-07,E,10,0,4.04E-04,,,,,
other,30,40,0.6,3.06E-03,E,10,0,2.74E+00,,,,,
other,30,45,0.6,2.08E-02,E,10,0,1.80E+01,,,,,
other,35,0,0.6,DEAD,E,10,0,DEAD,,,,,
other,35,40,0.6,1.59E-09,E,10,0,1.44E-06,,,,,
other,40,40,0.6,DEAD,E,10,0,DEAD,,,,,
other,40,45,0.6,DEAD,E,10,0,DEAD,,,,,
other,40,50,0.6,DEAD,E,10,0,DEAD,,,,,
other,40,55,0.6,6.86E-04,E,10,0,6.17E-01,,,,,
other,50,40,0.6,DEAD,E,10,0,DEAD,,,,,
other,50,50,0.6,DEAD,E,10,0,DEAD,,,,,
other,50,60,0.6,DEAD,E,10,0,DEAD,,,,,
other,50,65,0.6,9.59E-09,E,10,0,8.65E-06,,,,,
other,50,70,0.6,1.13E-04,E,10,0,1.02E-01,,,,,
,,,,,,,,,,,,,
other,20,50,0.6,DEAD,O,20,0,DEAD,,,,,
other,20,70,0.6,1.77E-02,O,20,0,1.00E+01,,,,,
other,20,60,0.6,8.20E-03,O,20,0,6.00E+00,,,,,
other,20,55,0.6,DEAD,O,20,0,DEAD,,,,,
other,25,65,0.6,DEAD,O,20,0,DEAD,,,,,
other,25,70,0.6,1.73E-02,O,20,0,1.10E+01,,,,,
other,30,70,0.6,2.26E-03,O,20,0,1.85E+00,,,,,
other,30,65,0.6,DEAD,O,20,0,DEAD,,,,,
other,40,80,0.6,1.29E-04,O,20,0,8.53E-02,,,,,
other,45,50,0.8,1.15E-04,O,20,0,7.57E-02,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,DEAD,M,20,0,DEAD,,,,,
other,10,18,0.6,1.26E-04,M,20,0,6.27E-02,,,,,
other,10,20,0.6,6.73E-03,M,20,0,3.40E+00,,,,,
other,20,20,0.6,DEAD,M,20,0,DEAD,,,,,
other,25,30,0.6,DEAD,M,20,0,DEAD,,,,,
other,25,35,0.6,3.66E-08,M,20,0,1.82E-05,,,,,
other,25,40,0.6,3.98E-04,M,20,0,1.98E-01,,,,,
other,30,40,0.6,DEAD,M,20,0,DEAD,,,,,
other,30,50,0.6,1.28E-02,M,20,0,6.30E+00,,,,,
other,30,47,0.6,6.63E-05,M,20,0,3.30E-02,,,,,
other,35,45,0.6,DEAD,M,20,0,DEAD,,,,,
other,35,50,0.6,5.52E-08,M,20,0,2.75E-05,,,,,
other,40,31,0.6,8.69E-05,M,20,0,2.31E-02,,,,,
other,40,50,0.6,DEAD,M,20,0,DEAD,,,,,
other,40,56,0.6,7.92E-05,M,20,0,3.40E-02,,,,,
other,40,62,0.6,0.000121091,M,20,0,6.03E-02,,,,,
other,40,65,0.6,1.81E-02,M,20,0,8.80E+00,,,,,
other,45,55,0.6,6.05E-04,M,20,0,3.00E-01,,,,,
other,50,51,0.6,0.000135061,M,20,0,3.60E-02,,,,,
other,50,70,0.6,DEAD,M,20,0,DEAD,,,,,
other,50,80,0.6,2.65E-02,M,20,0,1.25E+01,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,DEAD,E,20,0,DEAD,,,,,
other,10,10,0.6,2.43E-04,E,20,0,1.05E-01,,,,,
other,10,20,0.6,2.11E-02,E,20,0,9.20E+00,,,,,
other,20,20,0.6,1.22E-08,E,20,0,5.24E-06,,,,,
other,20,30,0.6,8.95E-03,E,20,0,3.87E+00,,,,,
other,25,25,0.6,DEAD,E,20,0,DEAD,,,,,
other,25,30,0.6,DEAD,E,20,0,DEAD,,,,,
other,25,35,0.6,1.93E-03,E,20,0,8.33E-01,,,,,
other,25,40,0.6,2.21E-02,E,20,0,9.50E+00,,,,,
other,30,30,0.6,DEAD,E,20,0,DEAD,,,,,
other,30,35,0.6,3.57E-09,E,20,0,3.09E-04,,,,,
other,30,45,0.6,9.32E-03,E,20,0,4.01E+00,,,,,
other,35,40,0.6,DEAD,E,20,0,DEAD,,,,,
other,35,45,0.6,2.11E-07,E,20,0,9.09E-05,,,,,
other,40,55,0.6,1.04E-09,E,20,0,4.48E-07,,,,,
other,45,50,0.6,1.36E-03,E,20,0,5.84E-01,,,,,
other,50,50,0.6,DEAD,E,20,0,DEAD,,,,,
other,50,65,0.6,DEAD,E,20,0,DEAD,,,,,
other,50,75,0.6,1.02E-02,E,20,0,4.40E+00,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,DEAD,O,30,0,DEAD,,,,,
other,10,50,0.6,DEAD,O,30,0,DEAD,,,,,
other,10,90,0.6,DEAD,O,30,0,DEAD,,,,,
other,20,0,0.6,DEAD,O,30,0,DEAD,,,,,
other,20,50,0.6,DEAD,O,30,0,DEAD,,,,,
other,20,90,0.6,DEAD,O,30,0,DEAD,,,,,
other,30,50,0.6,DEAD,O,30,0,DEAD,,,,,
other,30,90,0.6,DEAD,O,30,0,DEAD,,,,,
other,50,50,0.6,DEAD,O,30,0,DEAD,,,,,
other,50,90,0.6,DEAD,O,30,0,DEAD,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,1.18E-02,M,30,0,3.16E+00,,,,,
other,10,10,0.6,1.44E-02,M,30,0,3.90E+00,,,,,
other,10,30,0.6,1.59E-02,M,30,0,4.32E+00,,,,,
other,10,50,0.6,2.13E-02,M,30,0,5.90E+00,,,,,
other,20,0,0.6,4.17E-03,M,30,0,1.10E+00,,,,,
other,20,10,0.6,9.98E-03,M,30,0,2.65E+00,,,,,
other,20,30,0.6,1.74E-02,M,30,0,4.70E+00,,,,,
other,20,45,0.6,1.79E-02,M,30,0,4.85E+00,,,,,
other,25,20,0.6,1.10E-02,M,30,0,3.00E+00,,,,,
other,25,30,0.6,1.53E-02,M,30,0,4.09E+00,,,,,
other,25,35,0.6,1.68E-02,M,30,0,4.49E+00,,,,,
other,30,0,0.6,DEAD,M,30,0,DEAD,,,,,
other,30,15,0.6,0.000106015,M,30,0,2.86E-02,,,,,
other,30,30,0.6,1.21E-02,M,30,0,3.21E+00,,,,,
other,35,10,0.6,DEAD,M,30,0,DEAD,,,,,
other,35,25,0.6,1.09E-03,M,30,0,2.90E-01,,,,,
other,35,30,0.6,6.24E-03,M,30,0,1.65E+00,,,,,
other,40,10,0.6,DEAD,M,30,0,DEAD,,,,,
other,40,20,0.6,DEAD,M,30,0,DEAD,,,,,
other,40,40,0.6,7.05E-03,M,30,0,1.86E+00,,,,,
other,40,50,0.6,1.42E-02,M,30,0,3.74E+00,,,,,
other,45,20,0.6,DEAD,M,30,0,DEAD,,,,,
other,50,20,0.6,DEAD,M,30,0,DEAD,,,,,
other,50,40,0.6,DEAD,M,30,0,DEAD,,,,,
other,50,55,0.6,2.80E-03,M,30,0,7.40E-01,,,,,
,55,20,0.6,DEAD,M,30,0,DEAD,,,,,
,,,,,,,,,,,,,
other,10,0,0.6,1.96E-02,E,30,0,4.54E+00,,,,,
other,10,20,0.6,1.96E-02,E,30,0,4.54E+00,,,,,
other,10,30,0.6,1.96E-02,E,30,0,4.54E+00,,,,,
other,10,40,0.6,1.96E-02,E,30,0,4.54E+00,,,,,
other,20,0,0.6,1.70E-02,E,30,0,3.90E+00,,,,,
other,20,0,0.6,1.70E-02,E,30,0,3.90E+00,,,,,
