EXPERIMENT,gf,mf,σ,T,foram,grazing pressure on them,SYSTEM,%foram,,min,max
plausible,35,12,0.5,20,1.05E-05,,MESO,5.00E-03,,1.00E-03,2.00E-02
plausible,60,40,0.5,20,5.46E-05,Yes = 1,EUTRO,2.00E-02,,,
,,,,,,,,,,,
low_biomass,80,55,0.5,30,1.87E-05,Yes = 1,OLIGO,7.39E-03,low,,
low_biomass,80,17,0.5,30,1.37E-05,Yes = 1,EUTRO,0.002890379,low,,
,,,,,,,,,,,
other,0,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,10,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,20,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,30,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,35,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,35,10,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,40,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,40,20,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,40,25,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,40,60,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,60,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,10,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,15,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,50,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,30,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,40,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,45,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,50,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,60,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,45,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,30,5,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,35,15,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,40,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
,,,,,,,,,,,
other,0,0,0.5,20,1.50E-02,Yes = 1,MESO,7.00E+00,,,
other,10,0,0.5,20,1.11E-02,Yes = 1,MESO,5.00E+00,,,
other,20,0,0.5,20,6.67E-03,Yes = 1,MESO,3.00E+00,,,
other,30,0,0.5,20,8.90E-07,Yes = 1,MESO,4.00E-04,,,
other,35,0,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,35,10,0.5,20,3.22E-07,Yes = 1,MESO,2.00E-04,,,
other,40,0,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,40,20,0.5,20,1.16E-07,Yes = 1,MESO,6.00E-05,,,
other,40,25,0.5,20,2.60E-04,Yes = 1,MESO,1.00E-01,,,
other,40,60,0.5,20,2.73E-02,Yes = 1,MESO,1.00E+01,,,
other,50,60,0.5,20,1.49E-02,Yes = 1,MESO,7.00E+00,,,
other,50,10,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
