EXPERIMENT,gf,mf,σ,T,foram,grazing pressure on them,zooplankton (same size),SYSTEM,%foram,,min %,max %,,
plausible,30,35,0.5,20,1.70E-05,Yes = 1,0.010068646,EUTRO,7.30E-03,,1.00E-03,2.00E-02,,Here we present the model output for the spinose carnivorous with σ =0.5 and predator- prey optimum length ratio 1:2
,,,,,,,,,,,,,,
other,0,0,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,20,0,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,10,0,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,10,20,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,20,10,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,20,15,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,20,20,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,30,30,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,30,35,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,40,45,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,40,50,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
other,50,60,0.5,20,DEAD,Yes = 1,0.014476712,OLIGO,DEAD,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
other,0,0,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,20,0,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,10,0,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,10,20,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,20,10,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,20,15,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,20,20,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,30,30,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,30,35,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,40,45,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,40,50,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
other,50,60,0.5,20,DEAD,Yes = 1,0.01122856,MESO,DEAD,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
other,0,0,0.5,20,0.00640124,Yes = 1,0.01395279,EUTRO,2.74E+00,,,,,
other,20,0,0.5,20,DEAD,Yes = 1,0.009968739,EUTRO,DEAD,,,,,
other,10,0,0.5,20,2.47E-07,Yes = 1,0.009968739,EUTRO,1.06E-04,,,,,
other,10,20,0.5,20,0.009214753,Yes = 1,0.01484776,EUTRO,3.92E+00,,,,,
other,20,10,0.5,20,DEAD,Yes = 1,0.009968739,EUTRO,DEAD,,,,,
